Code,standardlength,totallength,bodydepthpectoral,bodydepthanus,propulsivearea,bodyarea,musclearea,eyediameter,caudalpeduncledepth,caudalfinheight,caudalfinarea,bodywidth,interorbitalwidth,Date,region,SST
634,14.8166,19.57,4.2287,3.108,33.5862,45.5181,17.781,1.054,1.1919,2.0045,7.4362,1.476,1.1712,2017-10-09,NJ,22
635,10.6745,12.4919,2.719,2.385,16.0863,21.0841,9.7621,0.756,0.852,1.4422,2.7224,1.305,0.8334,2017-10-09,NJ,22
636,6.9603,8.4066,1.757,1.2221,6.998,8.594,4.3039,0.5824,0.5959,1.0323,1.5547,0.91,0.5522,2017-10-09,NJ,22
637,14.3252,18.0511,4.209,2.9841,30.3531,41.8059,17.3722,0.95,1.4036,1.8248,7.43,1.9002,1.0822,2017-10-09,NJ,22
638,13.3787,17.1952,3.7338,2.6925,30.1614,39.6174,15.9376,0.9087,1.1415,1.669,6.4513,1.5753,0.9997,2017-10-09,NJ,22
639,14.3572,18.637,3.9743,3.1703,31.6404,42.5447,16.9805,1,1.2346,2.0787,7.2851,1.6123,0.7686,2017-10-09,NJ,22
640,11.7152,15.2321,3.0549,2.6773,19.9694,28.1164,11.0261,0.7459,0.9062,1.4557,4.397,1.2024,0.8408,2017-10-09,NJ,22
641,14.4131,18.3832,4.2411,3.3035,33.8891,43.7801,19.213,0.9834,1.3468,1.8608,6.8123,1.838,1.0841,2017-10-09,NJ,22
642,13.0674,17.6137,3.9991,2.8844,30.1663,42.3829,15.3958,0.8251,1.0109,1.95,7.3937,1.4926,0.9234,2017-10-09,NJ,22
643,7.5087,9.2382,2.018,1.6454,7.1952,10.1658,4.6937,0.5426,0.5932,0.8839,1.1703,0.8816,0.4509,2017-10-09,NJ,22
644,8.2403,10.2678,2.3171,1.7179,10.0389,12.1893,5.9852,0.4648,0.6624,0.9492,1.6236,0.8581,0.3899,2017-10-09,NJ,22
645,15.5473,21.279,5.1269,3.7012,41.6089,57.2946,22.1727,1.3692,1.4592,2.2563,8.6593,2.5885,1.1525,2017-10-09,NJ,22
647,8.2931,10.2788,2.1472,1.8271,9.6012,12.573,6.0511,0.5146,0.5566,0.8509,1.3981,1.0191,0.5941,2017-11-01,NJ,13.6
648,9.3838,11.2908,2.5196,2.0651,12.8806,15.6495,8.2943,0.6062,0.7575,1.0606,1.792,1.1365,0.909,2017-11-01,NJ,13.6
649,9.466,11.9658,2.5504,2.1389,13.7476,15.9724,8.3936,0.6181,0.8732,1.1812,2.2475,1.2096,0.8392,2017-11-01,NJ,13.6
650,9.002,11.0734,2.3938,2.2747,11.8616,15.3006,7.6044,0.6515,0.8241,1.1134,1.5035,1.1801,0.7783,2017-11-01,NJ,13.6
651,10.313,12.2915,2.9329,2.5095,16.6414,21.2773,9.8542,0.7258,0.8621,1.146,2.2958,1.2935,0.7875,2017-11-01,NJ,13.6
659,8.4691,10.6409,2.39,1.781,8.5248,13.5211,6.715,0.6406,0.5815,0.849,1.4876,0.9065,0.5396,2017-11-01,NJ,13.6
660,9.1114,11.3714,2.6183,2.0573,11.1844,15.2562,7.1383,0.662,0.679,1.0951,1.4685,1.0489,0.7146,2017-11-01,NJ,13.6
661,7.9595,9.3013,2.1714,1.5924,9.0398,12.239,5.9229,0.5133,0.781,1.0131,1.0428,0.9617,0.4029,2017-11-01,NJ,13.6
662,8.3585,9.9069,2.2301,1.9116,9.7953,13.3263,6.3148,0.6056,0.7884,0.9958,1.4321,1.0288,0.6572,2017-11-01,NJ,13.6
663,8.9003,10.7975,2.3561,1.9061,11.0643,14.1818,6.4827,0.6101,0.6377,1.2469,1.8181,0.8001,0.7316,2017-11-01,NJ,13.6
664,7.3461,9.6303,2.095,1.6079,7.8909,11.334,5.3954,0.5016,0.6621,0.8395,1.3107,0.9005,0.5172,2017-11-01,NJ,13.6
665,7.7958,9.5811,2.2329,1.6755,9.4689,11.3115,5.9484,0.5614,0.7342,1.2086,1.5295,0.9086,0.5289,2017-11-01,NJ,13.6
666,7.3844,9.3295,2.1092,1.5504,8.3042,11.0536,5.4924,0.5515,0.7507,1.0134,1.4536,1.0143,0.6942,2017-11-01,NJ,13.6
667,8.6909,10.8018,2.4293,1.8007,10.5935,14.0923,6.6554,0.5573,0.6727,1.2292,1.9092,0.8865,0.5857,2017-11-01,NJ,13.6
681,7.3199,9.3457,2.0538,1.7203,8.8269,10.7688,5.5412,0.5739,0.6671,1.0669,1.6391,0.9875,0.5258,2017-11-01,NJ,13.6
682,8.0525,10.0936,2.3331,1.6951,9.4301,14.0831,6.8277,0.5854,0.706,1.1027,1.4177,1.0903,0.5708,2017-11-01,NJ,13.6
683,9.2269,11.1651,2.6208,2.2717,11.7729,17.2853,7.8129,0.6823,0.872,1.2638,2.5141,1.0266,0.5334,2017-11-01,NJ,13.6
684,7.9144,9.7079,2.1746,1.6979,9.7604,12.1536,6.2137,0.6298,0.6322,0.9616,1.6655,1.0191,0.6428,2017-11-01,NJ,13.6
685,8.7343,10.9817,2.5635,1.9566,10.1063,14.5951,6.6735,0.6785,0.6855,0.9532,1.7716,1.1608,0.5659,2017-11-01,NJ,13.6
686,7.7125,9.2841,2.1733,1.7344,8.2064,11.4337,5.5444,0.5614,0.6995,0.8391,1.2267,0.8763,0.5299,2017-11-01,NJ,13.6
687,8.2814,10.5495,2.4424,1.8364,9.2961,12.8782,5.8214,0.6344,0.7325,1.0853,1.7258,0.5333,0.7435,2017-11-01,NJ,13.6
688,7.7444,8.5371,2.3344,1.8006,7.724,12.0799,5.1664,0.6098,0.3029,0.5605,0.9078,0.8888,0.4071,2017-11-01,NJ,13.6
